2017-06-06 03:51:50 INFO  ContextLoader:273 - Root WebApplicationContext: initialization started
2017-06-06 03:51:51 INFO  XmlWebApplicationContext:495 - Refreshing Root WebApplicationContext: startup date [Tue Jun 06 03:51:51 CDT 2017]; root of context hierarchy
2017-06-06 03:51:51 INFO  XmlBeanDefinitionReader:315 - Loading XML bean definitions from class path resource [application-context.xml]
2017-06-06 03:51:52 INFO  ClassPathBeanDefinitionScanner:210 - JSR-330 'javax.inject.Named' annotation found and supported for component scanning
2017-06-06 03:51:53 INFO  XmlBeanDefinitionReader:315 - Loading XML bean definitions from class path resource [security.xml]
2017-06-06 03:51:53 INFO  SpringSecurityCoreVersion:33 - You are running with Spring Security Core 3.1.1.RELEASE
2017-06-06 03:51:53 INFO  SecurityNamespaceHandler:59 - Spring Security 'config' module version is 3.1.1.RELEASE
2017-06-06 03:51:57 INFO  HttpSecurityBeanDefinitionParser:240 - Checking sorted filter chain: [Root bean: class [org.springframework.security.web.context.SecurityContextPersistenceFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 300, Root bean: class [org.springframework.security.web.authentication.www.BasicAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1200, Root bean: class [org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1400, Root bean: class [org.springframework.security.web.authentication.AnonymousAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1700, Root bean: class [org.springframework.security.web.access.ExceptionTranslationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1900, <org.springframework.security.web.access.intercept.FilterSecurityInterceptor#0>, order = 2000]
2017-06-06 03:51:58 INFO  PropertySourcesPlaceholderConfigurer:177 - Loading properties file from class path resource [app.properties]
2017-06-06 03:51:58 INFO  AutowiredAnnotationBeanPostProcessor:139 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-06-06 03:51:58 INFO  DefaultListableBeanFactory:557 - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@7db5b890: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0,org.springframework.security.filterChains,org.springframework.security.filterChainProxy,org.springframework.security.web.PortMapperImpl#0,org.springframework.security.web.PortResolverImpl#0,org.springframework.security.config.authentication.AuthenticationManagerFactoryBean#0,org.springframework.security.authentication.ProviderManager#0,org.springframework.security.web.context.NullSecurityContextRepository#0,org.springframework.security.web.savedrequest.NullRequestCache#0,org.springframework.security.access.vote.AffirmativeBased#0,org.springframework.security.web.access.intercept.FilterSecurityInterceptor#0,org.springframework.security.web.access.DefaultWebInvocationPrivilegeEvaluator#0,org.springframework.security.authentication.AnonymousAuthenticationProvider#0,org.springframework.security.web.authentication.www.BasicAuthenticationEntryPoint#0,org.springframework.security.userDetailsServiceFactory,org.springframework.security.web.DefaultSecurityFilterChain#0,org.springframework.security.provisioning.InMemoryUserDetailsManager#0,org.springframework.security.authentication.dao.DaoAuthenticationProvider#0,org.springframework.security.authentication.DefaultAuthenticationEventPublisher#0,org.springframework.security.authenticationManager,org.springframework.context.annotation.ConfigurationClassPostProcessor$ImportAwareBeanPostProcessor#0]; root of factory hierarchy
2017-06-06 03:52:01 INFO  DefaultSecurityFilterChain:28 - Creating filter chain: Ant [pattern='/eucservice/**'], [org.springframework.security.web.context.SecurityContextPersistenceFilter@74a58a06, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7308c820, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5d601832, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3ca17943, org.springframework.security.web.access.ExceptionTranslationFilter@640c216b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5170bc02]
2017-06-06 03:52:01 INFO  ContextLoader:302 - Root WebApplicationContext: initialization completed in 10878 ms
2017-06-06 03:52:02 INFO  DispatcherServlet:444 - FrameworkServlet 'mvc-dispatcher': initialization started
2017-06-06 03:52:02 INFO  XmlWebApplicationContext:495 - Refreshing WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Tue Jun 06 03:52:02 CDT 2017]; parent: Root WebApplicationContext
2017-06-06 03:52:02 INFO  XmlBeanDefinitionReader:315 - Loading XML bean definitions from class path resource [mvc-dispatcher-servlet.xml]
2017-06-06 03:52:03 INFO  ClassPathBeanDefinitionScanner:210 - JSR-330 'javax.inject.Named' annotation found and supported for component scanning
2017-06-06 03:52:04 INFO  XmlBeanDefinitionReader:315 - Loading XML bean definitions from class path resource [spring-mvc-ws-integration.xml]
2017-06-06 03:52:08 INFO  AutowiredAnnotationBeanPostProcessor:139 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-06-06 03:52:08 INFO  AnnotationActionEndpointMapping:177 - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2017-06-06 03:52:08 INFO  DefaultListableBeanFactory:557 - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@7493d937: defining beans [subscriptionController,subscriptionEndpoint,businessLogicImpl,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.validation.beanvalidation.LocalValidatorFactoryBean#0,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0,org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver#0,org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver#0,org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter,org.springframework.ws.server.endpoint.mapping.PayloadRootAnnotationMethodEndpointMapping#0,org.springframework.ws.soap.server.endpoint.mapping.SoapActionAnnotationMethodEndpointMapping#0,org.springframework.ws.soap.addressing.server.AnnotationActionEndpointMapping#0,org.springframework.ws.server.endpoint.adapter.method.dom.DomPayloadMethodProcessor#0,org.springframework.ws.server.endpoint.adapter.method.SourcePayloadMethodProcessor#0,org.springframework.ws.server.endpoint.adapter.method.jaxb.XmlRootElementPayloadMethodProcessor#0,org.springframework.ws.server.endpoint.adapter.method.jaxb.JaxbElementPayloadMethodProcessor#0,org.springframework.ws.server.endpoint.adapter.DefaultMethodEndpointAdapter#0,org.springframework.ws.soap.server.endpoint.SoapFaultAnnotationExceptionResolver#0,org.springframework.ws.soap.server.endpoint.SimpleSoapExceptionResolver#0,org.springframework.ws.soap.server.endpoint.interceptor.DelegatingSmartSoapEndpointInterceptor#0,org.springframework.ws.soap.server.endpoint.interceptor.DelegatingSmartSoapEndpointInterceptor#1,org.springframework.xml.xsd.SimpleXsdSchema#0,subscription,defaultMethodEndpointAdapter,messageFactory,org.springframework.ws.transport.http.WebServiceMessageReceiverHandlerAdapter#0,org.springframework.ws.transport.http.WsdlDefinitionHandlerAdapter#0,messageDispatcher,org.springframework.web.servlet.handler.SimpleUrlHandlerMapping#0,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter#0,org.springframework.context.annotation.ConfigurationClassPostProcessor$ImportAwareBeanPostProcessor#0]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@7db5b890
2017-06-06 03:52:09 INFO  RequestMappingHandlerMapping:190 - Mapped "{[/exampleService/postTest],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.euc.hr.schemas.SubscriptionRequest com.example.rest.controller.SubscriptionController.postTest(com.euc.hr.schemas.SubscriptionRequest)
2017-06-06 03:52:09 INFO  RequestMappingHandlerMapping:190 - Mapped "{[/exampleService/postSubscription],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.euc.hr.schemas.SubscriptionResponse com.example.rest.controller.SubscriptionController.postSubscription(com.euc.hr.schemas.SubscriptionRequest)
2017-06-06 03:52:09 INFO  RequestMappingHandlerMapping:190 - Mapped "{[/exampleService/getSubscription],methods=[GET],params=[],headers=[],consumes=[],produces=[application/json || application/xml],custom=[]}" onto public com.euc.hr.schemas.SubscriptionResponse com.example.rest.controller.SubscriptionController.getSubscription(java.lang.String,java.lang.String,java.lang.String)
2017-06-06 03:52:10 INFO  Version:30 - HV000001: Hibernate Validator 5.4.0.Final
2017-06-06 03:52:14 INFO  PayloadValidatingInterceptor:163 - Validating using class path resource [subscription.xsd]
2017-06-06 03:52:20 INFO  SaajSoapMessageFactory:137 - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
2017-06-06 03:52:20 INFO  SimpleUrlHandlerMapping:314 - Mapped URL path [/ws/subscription?wsdl] onto handler 'subscription'
2017-06-06 03:52:20 INFO  SimpleUrlHandlerMapping:314 - Mapped URL path [/ws] onto handler 'messageDispatcher'
2017-06-06 03:52:21 INFO  DispatcherServlet:463 - FrameworkServlet 'mvc-dispatcher': initialization completed in 18753 ms
